AB	1882
AK	1292
AL	4076
AR	3339
AS	19
AZ	88648
BC	3059
CA	9202736
CN	185
CO	25220
CT	5894
CZ	40
DC	1451
DD	519
DE	1086
FL	43187
FN	418
GA	13267
GU	26
HI	1598
IA	3880
ID	5195
IL	27980
IN	12811
KS	4844
KY	3300
LA	7265
MA	10636
MB	167
MD	10146
ME	2391
MI	13861
ML	1
MN	9569
MO	10206
MS	2780
MT	4088
MX	8349
NB	192
NC	9793
ND	1042
NE	2936
NF	14
NH	1684
NJ	13228
NM	9225
NS	73
NV	58667
NW	18
NY	18156
OH	13651
OK	9956
ON	2196
OR	27721
PA	14383
PE	21
PR	24
QU	841
RI	1480
RP State Plate	1
SA	161
SC	4503
SD	1295
TN	12857
TT	18
TX	62652
US	461
UT	14228
VA	11947
VI	37
VN	2184
VT	897
WA	39055
WI	6613
WV	791
WY	1544
XX	148
YU	10
|	2
